timestamp,id_ground,latitude,longitude,pm25,no2,so2,o3,co,date,id_weather,temperature,wind_speed
2023-04-14 04:00:00,5967.333333333333,40.75724183333333,-73.99776433333334,14.35111111111111,39.741666666666674,1.0111111111111113,0.028,0.4275555555555556,2023-04-14,14,26.1,14.8
2023-04-14 05:00:00,5968.333333333333,40.75724183333333,-73.99776433333334,15.886666666666663,47.40000000000001,1.066666666666667,0.0174999999999999,0.4821111111111111,2023-04-14,14,26.1,14.8
2023-04-14 06:00:00,5969.333333333333,40.75724183333333,-73.99776433333334,18.31888888888889,48.88333333333335,1.1666666666666667,0.016,0.4911111111111112,2023-04-14,14,26.1,14.8
2023-04-14 07:00:00,5970.333333333333,40.75724183333333,-73.99776433333334,21.335555555555555,46.28333333333334,1.3333333333333333,0.026,0.489888888888889,2023-04-14,14,26.1,14.8
2023-04-14 08:00:00,5971.333333333333,40.75724183333333,-73.99776433333334,22.994444444444444,40.59166666666668,1.377777777777778,0.037,0.47,2023-04-14,14,26.1,14.8
2023-04-14 09:00:00,5972.333333333333,40.75724183333333,-73.99776433333334,22.405555555555555,35.59166666666668,1.3555555555555558,0.042,0.4527777777777778,2023-04-14,14,26.1,14.8
2023-04-14 10:00:00,5973.333333333333,40.75724183333333,-73.99776433333334,20.70555555555556,32.84166666666668,1.288888888888889,0.054,0.4225555555555556,2023-04-14,14,26.1,14.8
2023-04-14 11:00:00,5974.333333333333,40.75724183333333,-73.99776433333334,18.972222222222225,31.908333333333346,1.2333333333333336,0.0584999999999999,0.4014444444444445,2023-04-14,14,26.1,14.8
2023-04-14 12:00:00,5975.333333333333,40.75724183333333,-73.99776433333334,17.694444444444446,28.083333333333343,1.1888888888888889,0.07,0.3716666666666667,2023-04-14,14,26.1,14.8
2023-04-14 13:00:00,5976.333333333333,40.75724183333333,-73.99776433333334,15.9,22.51666666666668,1.1111111111111114,0.0775,0.367,2023-04-14,14,26.1,14.8
2023-04-14 14:00:00,5977.333333333333,40.75724183333333,-73.99776433333334,14.466666666666669,18.16666666666668,1.0333333333333334,0.067,0.3602222222222222,2023-04-14,14,26.1,14.8
2023-04-14 15:00:00,5978.333333333333,40.75724183333333,-73.99776433333334,13.866666666666664,18.06666666666668,0.9333333333333336,0.0584999999999999,0.3644444444444445,2023-04-14,14,26.1,14.8
2023-04-14 16:00:00,5979.333333333333,40.75724183333333,-73.99776433333334,14.55,19.633333333333344,0.8444444444444446,0.0545,0.3636666666666667,2023-04-14,14,26.1,14.8
2023-04-14 17:00:00,5980.333333333333,40.75724183333333,-73.99776433333334,15.333333333333334,20.61666666666668,0.8333333333333335,0.0455,0.3734444444444444,2023-04-14,14,26.1,14.8
2023-04-14 18:00:00,5981.333333333333,40.75724183333333,-73.99776433333334,16.183333333333334,21.81666666666668,0.888888888888889,0.0345,0.3761111111111111,2023-04-14,14,26.1,14.8
2023-04-14 19:00:00,5982.333333333333,40.75724183333333,-73.99776433333334,16.127777777777776,22.99166666666668,0.9000000000000002,0.023,0.363,2023-04-14,14,26.1,14.8
2023-04-14 20:00:00,5983.333333333333,40.75724183333333,-73.99776433333334,15.37222222222222,23.408333333333346,0.8777777777777779,0.0255,0.3552222222222223,2023-04-14,14,26.1,14.8
2023-04-14 21:00:00,5984.333333333333,40.75724183333333,-73.99776433333334,13.955555555555556,20.72500000000001,0.7888888888888891,0.027,0.3341111111111112,2023-04-14,14,26.1,14.8
2023-04-14 22:00:00,5985.333333333333,40.75724183333333,-73.99776433333334,12.744444444444444,18.76666666666668,0.7444444444444446,0.0295,0.3286666666666667,2023-04-14,14,26.1,14.8
2023-04-14 23:00:00,5986.333333333333,40.75724183333333,-73.99776433333334,10.854444444444445,16.02166666666668,0.7000000000000002,0.025,0.3056666666666667,2023-04-14,14,26.1,14.8
2023-04-15 00:00:00,1574.7,40.7532025,-73.96703099999999,9.293333333333337,14.430000000000012,0.6555555555555558,0.0255,0.2973333333333334,2023-04-15,15,21.3,10.4
2023-04-15 01:00:00,5988.0,40.75724183333333,-73.99776433333334,7.760000000000001,12.930000000000012,0.5777777777777778,0.0275,0.2952222222222223,2023-04-15,15,21.3,10.4
2023-04-15 02:00:00,5989.0,40.75724183333333,-73.99776433333334,7.322222222222223,14.86666666666668,0.5000000000000001,0.023,0.3023333333333334,2023-04-15,15,21.3,10.4
2023-04-15 03:00:00,5990.0,40.75724183333333,-73.99776433333334,6.827777777777779,17.491666666666678,0.4777777777777778,0.011,0.3066666666666667,2023-04-15,15,21.3,10.4
2023-04-15 04:00:00,5991.0,40.75724183333333,-73.99776433333334,8.816666666666668,19.95000000000001,0.5555555555555557,0.01,0.3203333333333333,2023-04-15,15,21.3,10.4
2023-04-15 05:00:00,5992.0,40.75724183333333,-73.99776433333334,8.933333333333334,20.433333333333344,0.6777777777777779,0.006,0.3356666666666667,2023-04-15,15,21.3,10.4
2023-04-15 06:00:00,5993.0,40.75724183333333,-73.99776433333334,9.338888888888889,20.15000000000001,0.8000000000000002,0.009,0.3457777777777778,2023-04-15,15,21.3,10.4
2023-04-15 07:00:00,5994.0,40.75724183333333,-73.99776433333334,6.911111111111111,17.208333333333346,0.8222222222222223,0.0135,0.3373333333333333,2023-04-15,15,21.3,10.4
2023-04-15 08:00:00,5995.0,40.75724183333333,-73.99776433333334,6.766666666666668,13.85000000000001,0.7888888888888891,0.021,0.3237777777777778,2023-04-15,15,21.3,10.4
2023-04-15 09:00:00,5996.0,40.75724183333333,-73.99776433333334,6.216666666666669,11.283333333333344,0.7000000000000002,0.027,0.3253333333333333,2023-04-15,15,21.3,10.4
2023-04-15 10:00:00,5997.0,40.75724183333333,-73.99776433333334,6.561111111111113,9.97500000000001,0.6000000000000002,0.03,0.3296666666666667,2023-04-15,15,21.3,10.4
2023-04-15 11:00:00,5998.0,40.75724183333333,-73.99776433333334,6.372222222222224,9.633333333333344,0.5111111111111112,0.034,0.3252222222222222,2023-04-15,15,21.3,10.4
2023-04-15 12:00:00,5999.0,40.75724183333333,-73.99776433333334,5.677777777777778,9.400000000000013,0.4222222222222223,0.033,0.3078888888888889,2023-04-15,15,21.3,10.4
2023-04-15 13:00:00,6000.0,40.75724183333333,-73.99776433333334,4.6000000000000005,9.700000000000012,0.7111111111111112,0.0325,0.2955555555555556,2023-04-15,15,21.3,10.4
2023-04-15 14:00:00,6001.0,40.75724183333333,-73.99776433333334,4.244444444444446,9.433333333333342,0.8111111111111112,0.0355,0.2935555555555556,2023-04-15,15,21.3,10.4
2023-04-15 15:00:00,6002.0,40.75724183333333,-73.99776433333334,4.561111111111113,9.808333333333344,1.0111111111111113,0.033,0.292888888888889,2023-04-15,15,21.3,10.4
2023-04-15 16:00:00,6003.0,40.75724183333333,-73.99776433333334,4.994444444444445,10.32500000000001,0.8222222222222224,0.0335,0.2943333333333334,2023-04-15,15,21.3,10.4
2023-04-15 17:00:00,6004.0,40.75724183333333,-73.99776433333334,5.400000000000001,12.216666666666676,0.7444444444444446,0.0325,0.2988888888888889,2023-04-15,15,21.3,10.4
2023-04-15 18:00:00,6005.0,40.75724183333333,-73.99776433333334,6.033333333333334,14.758333333333344,0.5666666666666669,0.031,0.3163333333333333,2023-04-15,15,21.3,10.4
2023-04-15 19:00:00,6006.0,40.75724183333333,-73.99776433333334,7.600000000000001,17.700000000000014,0.4222222222222223,0.0225,0.3334444444444445,2023-04-15,15,21.3,10.4
2023-04-15 20:00:00,6007.0,40.75724183333333,-73.99776433333334,9.133333333333336,17.975000000000012,0.4222222222222223,0.02,0.3495555555555556,2023-04-15,15,21.3,10.4
2023-04-15 21:00:00,6008.0,40.75724183333333,-73.99776433333334,10.638888888888893,16.083333333333346,0.3555555555555557,0.018,0.3356666666666667,2023-04-15,15,21.3,10.4
2023-04-15 22:00:00,6009.0,40.75724183333333,-73.99776433333334,10.694444444444448,13.22500000000001,0.3333333333333335,0.0165,0.3202222222222222,2023-04-15,15,21.3,10.4
2023-04-15 23:00:00,6010.0,40.75724183333333,-73.99776433333334,10.65,12.058333333333344,0.2333333333333334,0.017,0.3133333333333333,2023-04-15,15,21.3,10.4
2023-04-16 00:00:00,6011.0,40.75724183333333,-73.99776433333334,11.111111111111114,12.633333333333344,0.2555555555555557,0.012,0.3293333333333334,2023-04-16,16,17.6,8.3
2023-04-16 01:00:00,6012.0,40.75724183333333,-73.99776433333334,12.761111111111113,12.133333333333344,0.2555555555555557,0.01,0.3244444444444445,2023-04-16,16,17.6,8.3
2023-04-16 02:00:00,6013.0,40.75724183333333,-73.99776433333334,13.866666666666667,10.7888888888889,0.2777777777777779,0.016,0.305,2023-04-16,16,17.6,8.3
2023-04-16 03:00:00,6014.0,40.75724183333333,-73.99776433333334,13.16666666666667,10.380555555555569,0.2666666666666666,0.017,0.2831111111111111,2023-04-16,16,17.6,8.3
2023-04-16 04:00:00,6015.0,40.75724183333333,-73.99776433333334,11.433333333333335,11.330555555555568,0.2555555555555557,0.0115,0.2821111111111111,2023-04-16,16,17.6,8.3
2023-04-16 05:00:00,6016.0,40.75724183333333,-73.99776433333334,10.283333333333337,13.583333333333345,0.2555555555555557,0.015,0.2996666666666667,2023-04-16,16,17.6,8.3
2023-04-16 06:00:00,6017.0,40.75724183333333,-73.99776433333334,9.505555555555558,13.708333333333345,0.2555555555555557,0.0155,0.3011111111111111,2023-04-16,16,17.6,8.3
2023-04-16 07:00:00,6018.0,40.75724183333333,-73.99776433333334,8.850000000000001,12.850000000000014,0.2777777777777779,0.017,0.3144444444444444,2023-04-16,16,17.6,8.3
2023-04-16 08:00:00,6019.0,40.75724183333333,-73.99776433333334,7.940000000000002,10.683333333333346,0.3000000000000001,0.024,0.3021111111111111,2023-04-16,16,17.6,8.3
