id,timestamp,latitude,longitude,pm25,no2,so2,o3,co
6844,2024-08-01 07:00,40.770908,-74.036218,11.8,,,,
9051,2024-08-01 07:00,40.816,-73.902,7.6,18.9,,0.021,
11229,2024-08-01 07:00,40.81551,-73.88553,8.6,,,,
13437,2024-08-01 07:00,40.64182,-74.01871,12.3,,,,
15645,2024-08-01 07:00,40.69454,-73.92769,10.6,,,,
17852,2024-08-01 07:00,40.73614,-73.82153,14.8,35.1,0.0,0.016,0.493
20028,2024-08-01 07:00,40.739264,-73.817694,10.8,47.9,,,0.637
217,2024-08-01 08:00,40.725413,-74.052293,12.8,,,,
2448,2024-08-01 08:00,40.64144,-74.208365,7.8,10.5,0.0,,0.3
4637,2024-08-01 08:00,40.85355,-73.96618,9.1,21.6,,,0.5
6845,2024-08-01 08:00,40.770908,-74.036218,4.5,,,,
9052,2024-08-01 08:00,40.816,-73.902,8.4,,,0.031,
11230,2024-08-01 08:00,40.81551,-73.88553,9.3,,,,
13438,2024-08-01 08:00,40.64182,-74.01871,9.8,,,,
15646,2024-08-01 08:00,40.69454,-73.92769,10.4,,,,
17853,2024-08-01 08:00,40.73614,-73.82153,13.5,23.9,0.0,0.03,0.337
20029,2024-08-01 08:00,40.739264,-73.817694,9.6,31.5,,,0.516
218,2024-08-01 09:00,40.725413,-74.052293,15.5,,,,
2449,2024-08-01 09:00,40.64144,-74.208365,13.5,13.6,0.1,,0.3
4638,2024-08-01 09:00,40.85355,-73.96618,,21.0,,,0.4
6846,2024-08-01 09:00,40.770908,-74.036218,11.0,,,,
9053,2024-08-01 09:00,40.816,-73.902,11.4,,,0.05,
11231,2024-08-01 09:00,40.81551,-73.88553,12.4,,,,
13439,2024-08-01 09:00,40.64182,-74.01871,9.6,,,,
15647,2024-08-01 09:00,40.69454,-73.92769,11.7,,,,
17854,2024-08-01 09:00,40.73614,-73.82153,15.0,,-0.1,0.041,0.278
20030,2024-08-01 09:00,40.739264,-73.817694,10.9,20.8,,,0.464
219,2024-08-01 10:00,40.725413,-74.052293,14.8,,,,
2450,2024-08-01 10:00,40.64144,-74.208365,11.6,8.6,0.0,,0.3
4639,2024-08-01 10:00,40.85355,-73.96618,8.8,10.3,,,0.4
6847,2024-08-01 10:00,40.770908,-74.036218,12.1,,,,
9054,2024-08-01 10:00,40.816,-73.902,13.5,,,0.059,
11232,2024-08-01 10:00,40.81551,-73.88553,16.0,,,,
13440,2024-08-01 10:00,40.64182,-74.01871,10.4,,,,
15648,2024-08-01 10:00,40.69454,-73.92769,14.4,,,,
17855,2024-08-01 10:00,40.73614,-73.82153,18.3,,-0.1,0.05,0.287
20031,2024-08-01 10:00,40.739264,-73.817694,13.0,20.9,,,0.312
